epoch,global_step,timestamp,lr-AdamW,lr-AdamW-momentum,val_loss,val_acc,val_precision,val_recall,val_f1,val_auroc,learning_rate,val_cm_tn,val_cm_fp,val_cm_fn,val_cm_tp,train_loss,train_acc,train_f1
0,38,2025-12-23T00:05:45.899161,0.0010000000474974513,0.8999999761581421,0.8402217626571655,0.7260726094245911,0.6226415038108826,0.34375,0.4429530203342438,0.7949627637863159,0.001,187.0,20.0,63.0,33.0,0.8578518033027649,0.6807278990745544,0.5682326555252075
1,76,2025-12-23T00:06:10.423997,0.0010000000474974513,0.8999999761581421,0.7275182604789734,0.7458745837211609,0.5759999752044678,0.75,0.651583731174469,0.8096820116043091,0.001,154.0,53.0,24.0,72.0,0.708945631980896,0.7543424367904663,0.6644067764282227
2,114,2025-12-23T00:06:34.503054,0.0010000000474974513,0.8999999761581421,0.7013675570487976,0.7326732873916626,0.5539568066596985,0.8020833134651184,0.6553191542625427,0.8222624659538269,0.001,145.0,62.0,19.0,77.0,0.6883532404899597,0.7535153031349182,0.6718061566352844
3,152,2025-12-23T00:06:58.193873,0.0010000000474974513,0.8999999761581421,0.7457624077796936,0.6831682920455933,0.5,0.8854166865348816,0.6390977501869202,0.8178592920303345,0.001,122.0,85.0,11.0,85.0,0.6602209210395813,0.7956989407539368,0.7151095867156982
4,190,2025-12-23T00:07:22.514386,0.0010000000474974513,0.8999999761581421,0.7363399267196655,0.7656765580177307,0.6126126050949097,0.7083333134651184,0.6570048332214355,0.8252062797546387,0.001,164.0,43.0,28.0,68.0,0.6731609106063843,0.7444168925285339,0.6716259121894836
5,228,2025-12-23T00:07:45.092439,0.0010000000474974513,0.8999999761581421,0.7204296588897705,0.7788779139518738,0.6283186078071594,0.7395833134651184,0.679425835609436,0.8319746255874634,0.001,165.0,42.0,25.0,71.0,0.665659487247467,0.7584781050682068,0.6791208982467651
6,266,2025-12-23T00:08:09.608071,0.0010000000474974513,0.8999999761581421,0.7099280953407288,0.7161716222763062,0.5304877758026123,0.90625,0.6692307591438293,0.8234953880310059,0.001,130.0,77.0,9.0,87.0,0.6464961171150208,0.7692307829856873,0.6917126774787903
7,304,2025-12-23T00:08:42.641111,0.0010000000474974513,0.8999999761581421,0.7184742093086243,0.7326732873916626,0.5490196347236633,0.875,0.6746987700462341,0.8230173587799072,0.001,138.0,69.0,12.0,84.0,0.6395666599273682,0.7783291935920715,0.7035398483276367
8,342,2025-12-23T00:09:05.377658,0.0010000000474974513,0.8999999761581421,0.7428750991821289,0.7623762488365173,0.6090909242630005,0.6979166865348816,0.6504854559898376,0.825130820274353,0.001,164.0,43.0,29.0,67.0,0.6350435018539429,0.7808105945587158,0.7025813460350037
9,380,2025-12-23T00:09:28.196589,0.0010000000474974513,0.8999999761581421,0.726608395576477,0.7293729186058044,0.5479452013969421,0.8333333134651184,0.6611570119857788,0.8245773315429688,0.001,141.0,66.0,16.0,80.0,0.6092724204063416,0.7849462628364563,0.7104676961898804
