epoch,global_step,timestamp,lr-AdamW,lr-AdamW-momentum,val_loss,val_acc,val_precision,val_recall,val_f1,val_auroc,learning_rate,val_cm_tn,val_cm_fp,val_cm_fn,val_cm_tp,train_loss,train_acc,train_f1
0,38,2025-12-23T00:01:09.000084,0.0010000000474974513,0.8999999761581421,0.7875873446464539,0.7590758800506592,0.6352941393852234,0.5625,0.5966851115226746,0.8168025016784668,0.001,176.0,31.0,42.0,54.0,0.8777644038200378,0.6228287816047668,0.4922049045562744
1,76,2025-12-23T00:01:32.185199,0.0010000000474974513,0.8999999761581421,0.6817929148674011,0.7920792102813721,0.6486486196517944,0.75,0.695652186870575,0.8428693413734436,0.001,168.0,39.0,24.0,72.0,0.7452816367149353,0.7460711598396301,0.6507394909858704
2,114,2025-12-23T00:01:54.897788,0.0010000000474974513,0.8999999761581421,0.6463261246681213,0.7524752616882324,0.5734265446662903,0.8541666865348816,0.6861924529075623,0.8579407930374146,0.001,146.0,61.0,14.0,82.0,0.7294082045555115,0.7386269569396973,0.6359447240829468
3,152,2025-12-23T00:02:20.250166,0.0010000000474974513,0.8999999761581421,0.6427308917045593,0.7854785323143005,0.632478654384613,0.7708333134651184,0.6948356628417969,0.8617149591445923,0.001,164.0,43.0,22.0,74.0,0.7189297080039978,0.7320099472999573,0.6351351141929626
4,190,2025-12-23T00:02:44.681996,0.0010000000474974513,0.8999999761581421,0.6440653800964355,0.7524752616882324,0.5734265446662903,0.8541666865348816,0.6861924529075623,0.8607588410377502,0.001,146.0,61.0,14.0,82.0,0.6767756342887878,0.7617865800857544,0.6749435663223267
5,228,2025-12-23T00:03:08.607391,0.0010000000474974513,0.8999999761581421,0.6353005170822144,0.7656765580177307,0.5899280309677124,0.8541666865348816,0.6978723406791687,0.8615891337394714,0.001,150.0,57.0,14.0,82.0,0.6321237087249756,0.7708850502967834,0.6985853910446167
6,266,2025-12-23T00:03:32.688862,0.0010000000474974513,0.8999999761581421,0.6380131244659424,0.7920792102813721,0.6410256624221802,0.78125,0.7042253613471985,0.8655897378921509,0.001,165.0,42.0,21.0,75.0,0.6740057468414307,0.7485525012016296,0.6717062592506409
7,304,2025-12-23T00:03:56.725129,0.0005000000237487257,0.8999999761581421,0.6457834839820862,0.7953795194625854,0.6440678238868713,0.7916666865348816,0.7102803587913513,0.8651620149612427,0.0005,165.0,42.0,20.0,76.0,0.6549386978149414,0.7617865800857544,0.6842105388641357
