epoch,global_step,timestamp,lr-AdamW,lr-AdamW-momentum,val_loss,val_acc,val_precision,val_recall,val_f1,val_auroc,learning_rate,val_cm_tn,val_cm_fp,val_cm_fn,val_cm_tp,train_loss,train_acc,train_f1
0,38,2025-12-22T23:51:07.258568,0.0010000000474974513,0.8999999761581421,0.921976625919342,0.7227723002433777,0.699999988079071,0.21875,0.3333333432674408,0.7670592069625854,0.001,198.0,9.0,75.0,21.0,0.860458493232727,0.7055417895317078,0.5435897707939148
1,76,2025-12-22T23:51:32.808530,0.0010000000474974513,0.8999999761581421,0.7406617999076843,0.7227723002433777,0.5441176295280457,0.7708333134651184,0.6379310488700867,0.8009510636329651,0.001,145.0,62.0,22.0,74.0,0.7470625042915344,0.7336642146110535,0.6307339668273926
2,114,2025-12-22T23:51:57.213220,0.0010000000474974513,0.8999999761581421,0.7422205209732056,0.7293729186058044,0.5564516186714172,0.71875,0.6272727251052856,0.799064040184021,0.001,152.0,55.0,27.0,69.0,0.6818780303001404,0.7559967041015625,0.6651532053947449
3,152,2025-12-22T23:52:21.768180,0.0010000000474974513,0.8999999761581421,0.7667874097824097,0.7326732873916626,0.5630252361297607,0.6979166865348816,0.6232557892799377,0.7948369979858398,0.001,155.0,52.0,29.0,67.0,0.6773435473442078,0.7758477926254272,0.6965285539627075
4,190,2025-12-22T23:52:45.412122,0.0010000000474974513,0.8999999761581421,0.7246689200401306,0.7194719314575195,0.5390070676803589,0.7916666865348816,0.6413502097129822,0.8022845983505249,0.001,142.0,65.0,20.0,76.0,0.674558699131012,0.7593052387237549,0.6791620850563049
5,228,2025-12-22T23:53:09.313240,0.0010000000474974513,0.8999999761581421,0.7391924262046814,0.7326732873916626,0.5590550899505615,0.7395833134651184,0.6367713212966919,0.8027626872062683,0.001,151.0,56.0,25.0,71.0,0.6534409523010254,0.7617865800857544,0.679287314414978
6,266,2025-12-22T23:53:32.453662,0.0010000000474974513,0.8999999761581421,0.7503367066383362,0.7392739057540894,0.5714285969734192,0.7083333134651184,0.6325581669807434,0.804775595664978,0.001,156.0,51.0,28.0,68.0,0.663043200969696,0.7766749262809753,0.6917808055877686
7,304,2025-12-22T23:53:54.756304,0.0010000000474974513,0.8999999761581421,0.7316150069236755,0.7260726094245911,0.5546218752861023,0.6875,0.6139534711837769,0.8051027059555054,0.001,154.0,53.0,30.0,66.0,0.6520940661430359,0.7849462628364563,0.6955503225326538
8,342,2025-12-22T23:54:17.568972,0.0010000000474974513,0.8999999761581421,0.7782886028289795,0.7392739057540894,0.5691056847572327,0.7291666865348816,0.6392694115638733,0.8062852025032043,0.001,154.0,53.0,26.0,70.0,0.6030696630477905,0.7932175397872925,0.7209821343421936
9,380,2025-12-22T23:54:40.038288,0.0005000000237487257,0.8999999761581421,0.774892270565033,0.7392739057540894,0.5779816508293152,0.65625,0.6146341562271118,0.8049516677856445,0.0005,161.0,46.0,33.0,63.0,0.6142850518226624,0.7832919955253601,0.7127193212509155
