epoch,global_step,timestamp,lr-AdamW,lr-AdamW-momentum,val_loss,val_acc,val_precision,val_recall,val_f1,val_auroc,learning_rate,val_cm_tn,val_cm_fp,val_cm_fn,val_cm_tp,train_loss,train_acc,train_f1
0,38,2025-12-22T23:35:58.676553,0.0010000000474974513,0.8999999761581421,0.9545180201530457,0.7161716222763062,0.7777777910232544,0.1458333283662796,0.24561403691768646,0.7963466048240662,0.001,203.0,4.0,82.0,14.0,0.838186502456665,0.6129032373428345,0.5674676299095154
1,76,2025-12-22T23:36:23.237927,0.0010000000474974513,0.8999999761581421,0.6948210597038269,0.7524752616882324,0.5813953280448914,0.78125,0.6666666865348816,0.8359249234199524,0.001,153.0,54.0,21.0,75.0,0.7638024091720581,0.7196030020713806,0.6080924868583679
2,114,2025-12-22T23:36:46.625188,0.0010000000474974513,0.8999999761581421,0.6815508604049683,0.7722772359848022,0.6062992215156555,0.8020833134651184,0.6905829310417175,0.837233304977417,0.001,157.0,50.0,19.0,77.0,0.7251721620559692,0.7485525012016296,0.6537585258483887
3,152,2025-12-22T23:37:10.083867,0.0010000000474974513,0.8999999761581421,0.6719966530799866,0.7788779139518738,0.6106870174407959,0.8333333134651184,0.7048457860946655,0.8397241830825806,0.001,156.0,51.0,16.0,80.0,0.7179969549179077,0.7584781050682068,0.6674259901046753
4,190,2025-12-22T23:37:34.656395,0.0010000000474974513,0.8999999761581421,0.747592568397522,0.8085808753967285,0.7209302186965942,0.6458333134651184,0.6813187003135681,0.839397132396698,0.001,183.0,24.0,34.0,62.0,0.6703423857688904,0.7700579166412354,0.6890380382537842
5,228,2025-12-22T23:37:58.555688,0.0010000000474974513,0.8999999761581421,0.816361665725708,0.7986798882484436,0.7108433842658997,0.6145833134651184,0.659217894077301,0.8420893549919128,0.001,183.0,24.0,37.0,59.0,0.6758447885513306,0.7477253675460815,0.6688382029533386
6,266,2025-12-22T23:38:21.565682,0.0010000000474974513,0.8999999761581421,0.7124300003051758,0.7920792102813721,0.6571428775787354,0.71875,0.6865671873092651,0.8458635807037354,0.001,171.0,36.0,27.0,69.0,0.6732625365257263,0.7642679810523987,0.6912242770195007
7,304,2025-12-22T23:38:44.303187,0.0010000000474974513,0.8999999761581421,0.6707520484924316,0.7557755708694458,0.5797101259231567,0.8333333134651184,0.6837607026100159,0.8490841388702393,0.001,149.0,58.0,16.0,80.0,0.6418452262878418,0.7717121839523315,0.6933333277702332
8,342,2025-12-22T23:39:07.925762,0.0005000000237487257,0.8999999761581421,0.6585256457328796,0.7557755708694458,0.5797101259231567,0.8333333134651184,0.6837607026100159,0.8522544503211975,0.0005,149.0,58.0,16.0,80.0,0.6470300555229187,0.7642679810523987,0.6912242770195007
