epoch,global_step,timestamp,lr-AdamW,lr-AdamW-momentum,val_loss,val_acc,val_precision,val_recall,val_f1,val_auroc,learning_rate,val_cm_tn,val_cm_fp,val_cm_fn,val_cm_tp,train_loss,train_acc,train_f1
0,38,2025-12-22T23:56:21.646775,0.0010000000474974513,0.8999999761581421,0.8398314118385315,0.6996699571609497,0.5423728823661804,0.3333333432674408,0.41290321946144104,0.791968584060669,0.001,180.0,27.0,64.0,32.0,0.8763476014137268,0.6674938201904297,0.5073529481887817
1,76,2025-12-22T23:56:45.038534,0.0010000000474974513,0.8999999761581421,0.7278350591659546,0.7326732873916626,0.5572519302368164,0.7604166865348816,0.6431717872619629,0.8056310415267944,0.001,149.0,58.0,23.0,73.0,0.7214450240135193,0.751861035823822,0.6606335043907166
2,114,2025-12-22T23:57:07.605801,0.0010000000474974513,0.8999999761581421,0.7024765610694885,0.7128713130950928,0.5283018946647644,0.875,0.658823549747467,0.8328300714492798,0.001,132.0,75.0,12.0,84.0,0.6803500652313232,0.7675765156745911,0.6773822903633118
3,152,2025-12-22T23:57:31.351813,0.0010000000474974513,0.8999999761581421,0.7959863543510437,0.6369637250900269,0.4635416567325592,0.9270833134651184,0.6180555820465088,0.8279740214347839,0.001,104.0,103.0,7.0,89.0,0.6759245991706848,0.7675765156745911,0.678857147693634
4,190,2025-12-22T23:57:54.180945,0.0010000000474974513,0.8999999761581421,0.7475503087043762,0.7557755708694458,0.6195651888847351,0.59375,0.6063829660415649,0.833710789680481,0.001,172.0,35.0,39.0,57.0,0.676701545715332,0.7609594464302063,0.6868906021118164
5,228,2025-12-22T23:58:16.413331,0.0010000000474974513,0.8999999761581421,0.6762356758117676,0.7392739057540894,0.5586206912994385,0.84375,0.6721991896629333,0.8357487916946411,0.001,143.0,64.0,15.0,81.0,0.7026050686836243,0.7593052387237549,0.6755852699279785
6,266,2025-12-22T23:58:38.876625,0.0010000000474974513,0.8999999761581421,0.7641173005104065,0.7524752616882324,0.6105263233184814,0.6041666865348816,0.6073298454284668,0.8321508169174194,0.001,170.0,37.0,38.0,58.0,0.6715347170829773,0.7617865800857544,0.6734693646430969
7,304,2025-12-22T23:59:01.407418,0.0010000000474974513,0.8999999761581421,0.6576724648475647,0.7557755708694458,0.5743243098258972,0.8854166865348816,0.6967213153839111,0.842944860458374,0.001,144.0,63.0,11.0,85.0,0.6697971224784851,0.7617865800857544,0.679287314414978
8,342,2025-12-22T23:59:24.565070,0.0005000000237487257,0.8999999761581421,0.6622874736785889,0.7524752616882324,0.5686274766921997,0.90625,0.6987951993942261,0.8430454730987549,0.0005,141.0,66.0,9.0,87.0,0.6402919292449951,0.7684036493301392,0.6969696879386902
