epoch,global_step,timestamp,lr-AdamW,lr-AdamW-momentum,val_loss,val_acc,val_precision,val_recall,val_f1,val_auroc,learning_rate,val_cm_tn,val_cm_fp,val_cm_fn,val_cm_tp,train_loss,train_acc,train_f1
0,38,2025-12-23T00:11:15.322800,0.0010000000474974513,0.8999999761581421,0.813467800617218,0.7458745837211609,0.6727272868156433,0.3854166567325592,0.4900662302970886,0.8202998638153076,0.001,189.0,18.0,59.0,37.0,0.8663854002952576,0.6592224836349487,0.5275229215621948
1,76,2025-12-23T00:11:39.541585,0.0010000000474974513,0.8999999761581421,0.6849555969238281,0.7755775451660156,0.625,0.7291666865348816,0.6730769276618958,0.8499395847320557,0.001,165.0,42.0,26.0,70.0,0.7714017629623413,0.7204301357269287,0.6176470518112183
2,114,2025-12-23T00:12:03.835153,0.0010000000474974513,0.8999999761581421,0.6904461979866028,0.8151814937591553,0.7272727489471436,0.6666666865348816,0.695652186870575,0.8688355684280396,0.001,183.0,24.0,32.0,64.0,0.7488300204277039,0.7262200117111206,0.6497354507446289
3,152,2025-12-23T00:12:30.741843,0.0010000000474974513,0.8999999761581421,0.6078022718429565,0.7887789011001587,0.6333333253860474,0.7916666865348816,0.7037037014961243,0.8718296885490417,0.001,163.0,44.0,20.0,76.0,0.6818209290504456,0.751861035823822,0.6703296899795532
4,190,2025-12-23T00:12:54.521215,0.0010000000474974513,0.8999999761581421,0.6092211604118347,0.7590758800506592,0.5771812200546265,0.8958333134651184,0.7020407915115356,0.8724335432052612,0.001,144.0,63.0,10.0,86.0,0.6704914569854736,0.7659222483634949,0.6830906867980957
5,228,2025-12-23T00:13:18.193240,0.0010000000474974513,0.8999999761581421,0.5994004607200623,0.7887789011001587,0.6230769157409668,0.84375,0.7168141603469849,0.8677033185958862,0.001,158.0,49.0,15.0,81.0,0.6501273512840271,0.7692307829856873,0.6923925280570984
6,266,2025-12-23T00:13:41.619823,0.0010000000474974513,0.8999999761581421,0.6181139349937439,0.7953795194625854,0.6545454263687134,0.75,0.6990291476249695,0.8683323264122009,0.001,169.0,38.0,24.0,72.0,0.6784221529960632,0.7684036493301392,0.691629946231842
7,304,2025-12-23T00:14:06.406442,0.0010000000474974513,0.8999999761581421,0.6073686480522156,0.8052805066108704,0.6637167930603027,0.78125,0.7177033424377441,0.868483304977417,0.001,169.0,38.0,21.0,75.0,0.6394064426422119,0.7758477926254272,0.6951631307601929
8,342,2025-12-23T00:14:31.021284,0.0010000000474974513,0.8999999761581421,0.6133819222450256,0.8151814937591553,0.692307710647583,0.75,0.7200000286102295,0.875956118106842,0.001,175.0,32.0,24.0,72.0,0.6525560021400452,0.7568238377571106,0.6754966974258423
9,380,2025-12-23T00:14:54.395232,0.0005000000237487257,0.8999999761581421,0.5816336870193481,0.7821782231330872,0.6102941036224365,0.8645833134651184,0.7155172228813171,0.8771135210990906,0.0005,154.0,53.0,13.0,83.0,0.6383346319198608,0.7576509714126587,0.674805760383606
