epoch,global_step,timestamp,lr-AdamW,lr-AdamW-momentum,val_loss,val_acc,val_precision,val_recall,val_f1,val_auroc,learning_rate,val_cm_tn,val_cm_fp,val_cm_fn,val_cm_tp,train_loss,train_acc,train_f1
0,38,2025-12-28T23:16:04.835156,0.0010000000474974513,0.8999999761581421,0.15028800070285797,0.7933333516120911,0.6891891956329346,0.5666666626930237,0.6219512224197388,0.8161110877990723,0.000750025,187.0,23.0,39.0,51.0,0.14940860867500305,0.5291666388511658,0.5311203598976135
1,76,2025-12-28T23:16:36.524910,0.0007500249776057899,0.8999999761581421,0.12273212522268295,0.7633333206176758,0.572519063949585,0.8333333134651184,0.6787330508232117,0.8477248549461365,0.0002500750000000001,154.0,56.0,15.0,75.0,0.13250748813152313,0.70333331823349,0.6236786246299744
2,114,2025-12-28T23:17:07.690194,0.00025007501244544983,0.8999999761581421,0.11886274069547653,0.6700000166893005,0.4736842215061188,0.8999999761581421,0.6206896305084229,0.8666137456893921,0.001,120.0,90.0,9.0,81.0,0.12099424004554749,0.7350000143051147,0.6587982773780823
3,152,2025-12-28T23:17:39.653023,0.0010000000474974513,0.8999999761581421,0.12115928530693054,0.7900000214576721,0.604651153087616,0.8666666746139526,0.7123287916183472,0.8591533899307251,0.000750025,159.0,51.0,12.0,78.0,0.12344855070114136,0.7091666460037231,0.6398348808288574
4,190,2025-12-28T23:18:13.158731,0.0007500249776057899,0.8999999761581421,0.11499552428722382,0.79666668176651,0.6218487620353699,0.8222222328186035,0.7081339955329895,0.8699735403060913,0.0002500750000000001,165.0,45.0,16.0,74.0,0.11543885618448257,0.7649999856948853,0.6887417435646057
5,228,2025-12-28T23:18:44.712154,0.00025007501244544983,0.8999999761581421,0.12042689323425293,0.7733333110809326,0.5901639461517334,0.800000011920929,0.6792452931404114,0.8584390878677368,0.001,160.0,50.0,18.0,72.0,0.10402591526508331,0.7858333587646484,0.711560070514679
6,266,2025-12-28T23:19:15.523940,0.0010000000474974513,0.8999999761581421,0.12374021857976913,0.6566666960716248,0.46408841013908386,0.9333333373069763,0.6199262142181396,0.8702645301818848,0.000750025,113.0,97.0,6.0,84.0,0.1138187125325203,0.778333306312561,0.7017937302589417
7,304,2025-12-28T23:19:47.293889,0.0007500249776057899,0.8999999761581421,0.15218016505241394,0.8166666626930237,0.7272727489471436,0.6222222447395325,0.6706587076187134,0.8698412179946899,0.0002500750000000001,189.0,21.0,34.0,56.0,0.10360078513622284,0.7791666388511658,0.7052280306816101
8,342,2025-12-28T23:20:17.984585,0.00025007501244544983,0.8999999761581421,0.1263130158185959,0.8233333230018616,0.6907216310501099,0.7444444298744202,0.7165775299072266,0.8772222399711609,0.001,180.0,30.0,23.0,67.0,0.08404109627008438,0.8224999904632568,0.7548906803131104
9,380,2025-12-28T23:20:48.351808,0.0010000000474974513,0.8999999761581421,0.20521731674671173,0.8266666531562805,0.6899999976158142,0.7666666507720947,0.7263157963752747,0.876031756401062,0.000750025,179.0,31.0,21.0,69.0,0.09694837778806686,0.8166666626930237,0.747706413269043
