run_id,paradigm,seed,accuracy,precision,recall,f1_score,auroc,loss,tp,tn,fp,fn,training_time_seconds,timestamp,epochs_completed,experiment_timestamp,base_seed,configured_epochs,configured_rounds,tp_approx,tn_approx,fp_approx,fn_approx
2,centralized,44,0.8087992072105408,0.6680017709732056,0.785452663898468,0.7219817042350769,0.8915705680847168,0.1059900000691413,,,,,3888.085175037384,2025-12-28T14:05:49.817219,9,2025-12-28T21:08:06.064090,42,10,10,1501,3389,746,410
3,centralized,45,0.8028448820114136,0.6467946171760559,0.8288853764533997,0.7266054749488831,0.8889815807342529,0.1079560369253158,,,,,4601.547904014587,2025-12-28T15:22:31.369348,10,2025-12-28T21:08:06.064090,42,10,10,1584,3270,865,327
4,centralized,46,0.7790274620056152,0.6060494184494019,0.8597592711448669,0.7109476327896118,0.8842891454696655,0.1045131832361221,,,,,2654.274384498596,2025-12-28T16:06:45.648732,6,2025-12-28T21:08:06.064090,42,10,10,1643,3067,1068,268
5,centralized,47,0.7977175116539001,0.6350078582763672,0.8466771245002747,0.7257232666015625,0.895779550075531,0.1008526086807251,,,,,4330.477191448212,2025-12-28T17:18:56.130005,10,2025-12-28T21:08:06.064090,42,10,10,1618,3205,930,293
6,centralized,48,0.7750579118728638,0.5957594513893127,0.8969126343727112,0.7159565687179565,0.8983976244926453,0.0993797406554222,,,,,4323.415543079376,2025-12-28T18:30:59.551144,10,2025-12-28T21:08:06.064090,42,10,10,1714,2972,1163,197
