epoch,global_step,timestamp,lr-AdamW,lr-AdamW-momentum,val_loss,val_acc,val_precision,val_recall,val_f1,val_auroc,learning_rate,val_cm_tn,val_cm_fp,val_cm_fn,val_cm_tp,train_loss,train_acc,train_f1
0,38,2025-12-22T23:24:51.125370,0.0010000000474974513,0.8999999761581421,0.8251384496688843,0.7557755708694458,0.6666666865348816,0.4583333432674408,0.5432098507881165,0.7858545184135437,0.001,185.0,22.0,52.0,44.0,0.8506001830101013,0.7179487347602844,0.5385656356811523
1,76,2025-12-22T23:25:15.278608,0.0010000000474974513,0.8999999761581421,0.715995728969574,0.735973596572876,0.5571428537368774,0.8125,0.6610169410705566,0.8204509019851685,0.001,145.0,62.0,18.0,78.0,0.7049657106399536,0.7493796348571777,0.6622073650360107
2,114,2025-12-22T23:25:37.947100,0.0010000000474974513,0.8999999761581421,0.7510465383529663,0.7623762488365173,0.6034482717514038,0.7291666865348816,0.6603773832321167,0.8169786930084229,0.001,161.0,46.0,26.0,70.0,0.6809755563735962,0.751861035823822,0.6739130616188049
3,152,2025-12-22T23:26:00.491374,0.0010000000474974513,0.8999999761581421,0.8324280977249146,0.7656765580177307,0.6470588445663452,0.5729166865348816,0.6077347993850708,0.8127012848854065,0.001,177.0,30.0,41.0,55.0,0.6747565269470215,0.7559967041015625,0.6747519373893738
4,190,2025-12-22T23:26:23.711984,0.0010000000474974513,0.8999999761581421,0.7969607710838318,0.7656765580177307,0.6288659572601318,0.6354166865348816,0.6321243643760681,0.8148399591445923,0.001,171.0,36.0,35.0,61.0,0.6407060623168945,0.7758477926254272,0.6998892426490784
5,228,2025-12-22T23:26:47.571853,0.0010000000474974513,0.8999999761581421,0.7485853433609009,0.6765676736831665,0.4941176474094391,0.875,0.6315789222717285,0.8147393465042114,0.001,121.0,86.0,12.0,84.0,0.6817227602005005,0.7510339021682739,0.6801275014877319
6,266,2025-12-22T23:27:11.231335,0.0010000000474974513,0.8999999761581421,0.7502277493476868,0.7524752616882324,0.5853658318519592,0.75,0.6575342416763306,0.8185638189315796,0.001,156.0,51.0,24.0,72.0,0.6534966826438904,0.7510339021682739,0.6752966642379761
7,304,2025-12-22T23:27:38.378498,0.0010000000474974513,0.8999999761581421,0.7810596227645874,0.7788779139518738,0.6283186078071594,0.7395833134651184,0.679425835609436,0.8207528591156006,0.001,165.0,42.0,25.0,71.0,0.6566321849822998,0.7634408473968506,0.6864035129547119
8,342,2025-12-22T23:28:06.693477,0.0010000000474974513,0.8999999761581421,0.7686136960983276,0.7656765580177307,0.6068376302719116,0.7395833134651184,0.6666666865348816,0.8259108066558838,0.001,161.0,46.0,25.0,71.0,0.6584547758102417,0.7609594464302063,0.680662989616394
9,380,2025-12-22T23:28:33.437619,0.0010000000474974513,0.8999999761581421,0.7341210246086121,0.7458745837211609,0.568345308303833,0.8229166865348816,0.672340452671051,0.8254075646400452,0.001,147.0,60.0,17.0,79.0,0.6355673670768738,0.7609594464302063,0.6834611296653748
