epoch,global_step,timestamp,lr-AdamW,lr-AdamW-momentum,val_loss,val_acc,val_precision,val_recall,val_f1,val_auroc,learning_rate,val_cm_tn,val_cm_fp,val_cm_fn,val_cm_tp,train_loss,train_acc,train_f1
0,38,2025-12-22T23:30:26.956208,0.0010000000474974513,0.8999999761581421,0.822454035282135,0.7293729186058044,0.5945945978164673,0.4583333432674408,0.5176470875740051,0.7785577178001404,0.001,177.0,30.0,52.0,44.0,0.8685539960861206,0.6468155384063721,0.5239687561988831
1,76,2025-12-22T23:30:53.568508,0.0010000000474974513,0.8999999761581421,0.722690761089325,0.7425742745399475,0.5652173757553101,0.8125,0.6666666865348816,0.8090026378631592,0.001,147.0,60.0,18.0,78.0,0.7656806707382202,0.7171216011047363,0.6241758465766907
2,114,2025-12-22T23:31:18.982505,0.0010000000474974513,0.8999999761581421,0.6880264282226562,0.7689769268035889,0.6065573692321777,0.7708333134651184,0.6788991093635559,0.8349184989929199,0.001,159.0,48.0,22.0,74.0,0.7129771113395691,0.7485525012016296,0.6688452959060669
3,152,2025-12-22T23:31:43.678257,0.0010000000474974513,0.8999999761581421,0.6669603586196899,0.7392739057540894,0.5555555820465088,0.8854166865348816,0.6827309131622314,0.8355474472045898,0.001,139.0,68.0,11.0,85.0,0.6929798722267151,0.7493796348571777,0.6576271057128906
4,190,2025-12-22T23:32:10.325828,0.0010000000474974513,0.8999999761581421,0.6886835694313049,0.7194719314575195,0.5345911979675293,0.8854166865348816,0.6666666865348816,0.8340882062911987,0.001,133.0,74.0,11.0,85.0,0.6882736086845398,0.7551695704460144,0.6754385828971863
5,228,2025-12-22T23:32:34.501234,0.0010000000474974513,0.8999999761581421,0.6608759164810181,0.7788779139518738,0.6058394312858582,0.8645833134651184,0.7124463319778442,0.8338114023208618,0.001,153.0,54.0,13.0,83.0,0.6758411526679993,0.7601323127746582,0.6763392686843872
6,266,2025-12-22T23:32:59.402399,0.0010000000474974513,0.8999999761581421,0.6779980659484863,0.7590758800506592,0.5815602540969849,0.8541666865348816,0.6919831037521362,0.8294082283973694,0.001,148.0,59.0,14.0,82.0,0.6524031162261963,0.7675765156745911,0.6901874542236328
7,304,2025-12-22T23:33:23.646909,0.0010000000474974513,0.8999999761581421,0.6518449187278748,0.7524752616882324,0.5724138021469116,0.8645833134651184,0.6887966990470886,0.8375101089477539,0.001,145.0,62.0,13.0,83.0,0.664314866065979,0.7684036493301392,0.692307710647583
8,342,2025-12-22T23:33:48.088414,0.0005000000237487257,0.8999999761581421,0.66157466173172,0.7425742745399475,0.557692289352417,0.90625,0.6904761791229248,0.836251974105835,0.0005,138.0,69.0,9.0,87.0,0.6306754946708679,0.7659222483634949,0.6886688470840454
9,380,2025-12-22T23:34:12.992283,0.0005000000237487257,0.8999999761581421,0.6553310751914978,0.7722772359848022,0.6015037298202515,0.8333333134651184,0.6986899375915527,0.8390448689460754,0.0005,154.0,53.0,16.0,80.0,0.6200271844863892,0.7708850502967834,0.6985853910446167
