epoch,global_step,timestamp,lr-AdamW,lr-AdamW-momentum,val_loss,val_acc,val_precision,val_recall,val_f1,val_auroc,learning_rate,val_cm_tn,val_cm_fp,val_cm_fn,val_cm_tp,train_loss,train_acc,train_f1
0,38,2025-12-22T23:46:36.413473,0.0010000000474974513,0.8999999761581421,0.8070395588874817,0.735973596572876,0.6212121248245239,0.4270833432674408,0.5061728358268738,0.8091284036636353,0.001,182.0,25.0,55.0,41.0,0.8506817817687988,0.655086874961853,0.5651720762252808
1,76,2025-12-22T23:47:03.269359,0.0010000000474974513,0.8999999761581421,0.8318458199501038,0.6303630471229553,0.4583333432674408,0.9166666865348816,0.6111111044883728,0.7931008338928223,0.001,103.0,104.0,8.0,88.0,0.7559928297996521,0.7311828136444092,0.6311010122299194
2,114,2025-12-22T23:47:30.806340,0.0010000000474974513,0.8999999761581421,0.7353155016899109,0.6897689700126648,0.5064102411270142,0.8229166865348816,0.6269841194152832,0.8034168481826782,0.001,130.0,77.0,17.0,79.0,0.7507192492485046,0.7386269569396973,0.6542669534683228
3,152,2025-12-22T23:47:57.954148,0.0010000000474974513,0.8999999761581421,0.7368108034133911,0.7326732873916626,0.5590550899505615,0.7395833134651184,0.6367713212966919,0.8119212985038757,0.001,151.0,56.0,25.0,71.0,0.6770647764205933,0.7634408473968506,0.6822222471237183
4,190,2025-12-22T23:48:23.862177,0.0010000000474974513,0.8999999761581421,0.7222961783409119,0.7293729186058044,0.5546875,0.7395833134651184,0.6339285969734192,0.8134058117866516,0.001,150.0,57.0,25.0,71.0,0.6663062572479248,0.7626137137413025,0.6877040266990662
5,228,2025-12-22T23:48:48.656908,0.0010000000474974513,0.8999999761581421,0.7200477719306946,0.7590758800506592,0.5966386795043945,0.7395833134651184,0.6604651212692261,0.81861412525177,0.001,159.0,48.0,25.0,71.0,0.6947508454322815,0.7568238377571106,0.6733333468437195
6,266,2025-12-22T23:49:13.660683,0.0005000000237487257,0.8999999761581421,0.7455701231956482,0.7590758800506592,0.5982906222343445,0.7291666865348816,0.65727698802948,0.8183624744415283,0.0005,160.0,47.0,26.0,70.0,0.6444432735443115,0.7791563272476196,0.6941580772399902
